account_number	cust_name	phone_number	purchase_points
676	Danella Wiltsher	582-170-1546	30812
677	Conrad Moroney	836-820-7695	390
678	Gery Thewles	653-284-9649	60634
679	Haley McLeish	335-392-4237	7798
680	Olly Franzke	328-261-1997	29418
681	Karin Gillebert	688-904-3761	8932
682	Harri Scoble	108-985-3986	889
683	Eveleen Cicci	205-831-0052	773
684	Beatrix Sarl	305-160-5320	4
685	Tallia Roelvink	775-494-3422	8
686	Lorri Delooze	280-105-7503	85635
687	Trish Ruffell	345-970-9155	0
688	Rusty Adami	995-892-6130	818
689	Terrye Prewett	200-316-2100	59893
690	Rivi Guittet	299-720-1054	143
691	Phaedra Devers	563-575-2652	7019
692	Amos Swatten	794-556-5919	3
693	Maryl O'Spellissey	554-567-3264	224
694	Dewain Stampe	624-144-3055	8
695	Cazzie Ottewell	617-232-1206	0
696	Wolf Costan	805-871-6953	4314
697	Selestina D'Cruze	138-562-9664	3
698	Charmine Gunson	723-641-3377	709
699	Brod Batram	675-644-9746	66
700	Fidelio Syddie	347-508-1685	512
701	Malachi Varvell	887-701-6863	386
702	Gabriello Benard	892-156-0929	6
703	Brittney O' Hogan	267-941-6696	9254
704	Netti Rudiger	481-353-8281	85
705	Brandice Herreros	148-770-8901	90
706	Bone Po	719-982-1796	85917
707	Cornela Brissenden	467-520-7522	63
708	Christabel Gurery	245-122-1752	3057
709	Thomasa Bilt	984-328-1371	842
710	Ruperta Madgewick	518-537-4854	4
711	Sibby Demare	270-113-2371	672
712	Gradeigh Vercruysse	763-344-9006	24094
713	Preston Pettegre	907-705-3568	898
714	Arline O'Sharkey	804-757-4591	56520
715	Dewie Vaulkhard	228-564-1378	65
716	Savina Moorhouse	252-364-1009	1
717	Willow Bohlsen	121-432-4139	985
718	Yasmeen Mynett	789-701-6696	47418
719	Edvard Sallinger	218-653-7589	96
720	Kermit Chittock	627-587-5531	966
721	Sonia Ruvel	281-949-8272	9243
722	Arel Sisse	631-901-4133	5049
723	Zara Valentelli	411-286-4390	53063
724	Gabriela Frankowski	683-340-5999	543
725	Krishnah Grenshiels	294-150-5023	0
726	Morena Richens	989-939-7172	554
727	Farr Gulley	432-250-9098	6224
728	Elinor Saffen	596-654-9424	494
729	Guendolen Yateman	936-102-3251	7
730	Andrus Cortese	401-422-0934	49
731	Sorcha Agnolo	163-865-1377	8524
732	Sasha Jakovijevic	124-987-9313	63
733	Rutger Greeve	402-660-8635	845
734	Orelee Reveland	749-346-9116	4
735	Jamie Whate	717-804-3906	506
736	Carmencita Gianetti	589-907-7894	82
737	Mayne McAlinden	214-488-0544	22
738	Abigael Boag	663-877-5897	85438
739	Adrian Hulles	100-249-1914	1
740	Andreas Dahlen	147-205-0819	78162
741	Trever Feeney	884-790-7667	6
742	Aymer Whiten	707-163-8690	365
743	Jacobo McGroarty	368-700-0819	4291
744	Donnell Seeking	611-922-6700	2
745	Lexis Sergean	853-264-8705	7
746	Torrance Cullingworth	619-207-7474	971
747	Ailis Reinard	988-211-1138	96
748	Harry Dyton	850-534-9892	13
749	Afton Bynold	415-970-0520	0
750	Vern Brosi	164-652-1163	42649
751	Fiorenze Scawen	574-253-5731	6898
752	Dasi Scutt	116-590-0683	5
753	Bing Mifflin	903-698-5292	9189
754	Rozanna Siddaley	215-374-0045	59
755	Tailor Grigoliis	282-557-7442	215
756	Cullie Portchmouth	872-971-0796	3
757	Nady Lamanby	564-983-3866	719
758	Sissy Balogh	732-858-3705	6
759	Thomasina Edeson	758-112-1997	6
760	Cristina Sheers	802-656-7424	6006
761	Jenn Hatchard	960-454-2709	3
762	Gard Powles	386-796-9452	73
763	Consalve Simmonds	639-752-6737	5550
764	Berke Simpkiss	253-243-2477	5
765	Say Fonso	410-621-8262	24
766	Darleen Gras	550-373-1754	444
767	Adeline Tidman	658-292-4012	414
768	Janifer Jakobsson	122-653-2074	971
769	Derk Gorman	755-514-3134	742
770	Tony McGilmartin	801-198-7937	383
771	Rhianna McCallam	301-260-9473	81
772	Leopold Naldrett	686-242-6470	1191
773	Agnesse Wilshere	302-262-2984	27
774	Humbert McGennis	487-215-5480	47
775	Patten Hamblington	386-212-7840	13
776	Rivi Ebbotts	531-873-7841	65
777	Vaclav Grinaugh	804-777-0116	87
778	Emory McKibbin	304-986-4590	58
779	Joyce Byk	197-393-4420	51786
780	Ashley Pigdon	536-867-5837	2708
781	Billi Riden	593-468-5140	71
782	Sioux Nestle	419-471-2976	61
783	Letta Tadman	891-382-1302	8815
784	Linzy Gasking	827-339-2571	9421
785	Barrie Minchinden	908-603-1924	3408
786	Eldridge Trent	587-852-7229	36
787	Stefania Ferri	560-701-0177	3
788	Petr Perel	303-514-5995	82
789	Antone Bains	201-485-2273	85
790	Charleen Masic	834-201-1882	6622
791	Maximilian Windaybank	151-932-3100	68
792	Erhard Turfrey	436-241-7436	27
793	Vernon Cocklin	544-430-3775	60
794	Gaylor Creaser	146-986-4439	7423
795	Rex Cardew	658-158-0519	65642
796	Gypsy Drewet	288-105-9288	5619
797	Kelly Britner	486-779-5536	365
798	Parke Broseke	725-227-6610	473
799	Jae Gosswell	174-747-7190	0
800	Charmane Kerfut	518-205-6059	0
801	Pip Hellyer	947-900-8367	74
802	Freddi Shafto	848-942-5917	8
803	Feliks Itter	936-229-2474	28121
804	Merrilee Reis	691-851-8909	4429
805	Muffin Moses	123-564-0195	9
806	Dex Gittings	252-331-6316	47879
807	Biddy Berkely	312-971-6189	2152
808	Payton Eykelbosch	286-155-1921	63386
809	Lewes Caro	375-143-6162	5
810	Benson Cabena	357-243-9863	472
811	Natka Nudd	288-968-6043	79986
812	Friedrick Fitchew	819-335-0520	0
813	Kaycee Belf	737-573-6844	41748
814	Pier Cuttell	339-404-9495	6250
815	Tanney Duligal	812-561-8449	44
816	Malissia Jacobsson	737-975-2546	18
817	Jeanna Bakster	772-485-1832	35574
818	Kippie Swaysland	254-374-2726	420
819	Delcina Drance	501-692-0779	1
820	Siobhan Larvent	306-930-6320	96
821	Waverly Coneau	230-691-8150	177
822	Donni Ivery	425-741-5636	37
823	Hastings Mulhall	711-834-6720	34734
824	Marten Scarman	336-495-1668	28
825	Didi Kiebes	315-722-6953	96
826	Gerti Crossdale	655-871-9087	6543
827	Patience Waplington	364-987-4142	84
828	Francklin Lawlie	857-519-0440	13385
829	Becca Kendrew	631-828-7267	9
830	Jaymie Bhatia	802-781-4455	829
831	Godfree Pinckney	942-891-2525	64
832	Mill Monday	986-634-2787	9039
833	Maximo Gatchel	695-839-9297	2
834	Yolanthe Lauderdale	532-637-2358	13145
835	Morty Weber	350-531-4240	16914
836	Minnnie Cray	331-724-3263	1
837	Marrilee Skilbeck	617-382-5700	7904
838	Maryrose Comizzoli	741-286-8288	45
839	Moe Arnott	784-176-0196	25909
840	Rycca Harsent	113-618-3425	7
841	Bern Cessford	267-727-2951	27
842	Burl Cozens	354-564-3724	6
843	Hogan Palleske	910-908-2426	924
844	Emelen Featley	302-980-2585	8658
845	Mab Brookson	321-820-9980	1405
846	Gloriana Maudlen	740-434-5688	9
847	Sinclair Jeavon	430-169-5538	0
848	Phedra Melledy	615-495-9040	21
849	Konstanze Prendeguest	854-670-6278	5
850	Darryl Hathorn	835-909-6078	92
851	Cherey Widger	648-267-6575	6
852	Ludvig Tosspell	845-739-8749	12521
853	Claudie Kingswoode	837-286-7877	912
854	Rafaello Shire	243-263-9629	4403
855	Bertine Avent	278-674-9401	9691
856	Anneliese Stampfer	365-940-9993	7972
857	Sydney O'Hern	747-468-9604	52557
858	Osmund Hill	900-403-3106	346
859	Babbie Mulvin	921-475-9155	1069
860	Bette-ann Reeman	565-502-1849	5080
861	Belita Chippin	387-690-1848	19501
862	Forester Stocker	563-336-9654	3
863	Natka Mohun	840-541-0762	5057
864	Fred Polkinhorn	842-449-5966	6
865	Gilemette Copnar	665-146-1196	34
866	Shirl Silly	342-596-8796	99541
867	Arnold Mockler	886-412-2672	68336
868	Tedda Rosebotham	809-759-7083	8326
869	Nana Vannuccinii	777-227-7722	460
870	Benedicta Tixall	327-323-3141	10
871	Barbabra Sheddan	646-684-6026	29
872	Babette Idwal Evans	396-233-5955	69217
873	Abbie Rawcliffe	291-250-8071	597
874	Stacy Estrella	355-231-9666	40
875	Win Pardie	597-925-2058	978
876	Gay Vouls	131-138-0311	385
877	Nathalia Gorler	856-862-6906	91901
878	Lydia Spurret	863-479-6548	955
879	Fleur Tathacott	685-899-2800	288
880	Sharyl Gyves	241-918-0521	6397
881	Marcos Pinnion	642-505-9031	2
882	Orsola Bonifant	475-725-4361	3
883	Duff Andrzejczak	182-120-9030	94
884	Elly Hrus	915-740-9592	156
885	Jere Hedling	197-247-3855	45
886	Kenny Witch	513-239-5276	8259
887	Everett Malter	269-872-3910	192
888	Gaylene Carrington	871-856-8064	329
889	Sigismundo Anglin	156-206-5126	47
890	Eugenia Everest	775-507-4229	61
891	Vania Wolseley	213-812-6890	8530
892	Harv Baldrey	518-867-9492	70
893	Aron Paulet	746-319-0703	0
894	Johnathan Arnell	740-820-7673	52
895	Helsa Falck	781-515-0457	2712
896	Reggi Wickersham	729-449-8344	8
897	Traci Giffaut	856-518-3492	22
898	Mildrid Teaz	902-987-4443	140
899	Vittorio Benito	788-635-5868	98706
900	Ulla Mariel	562-150-4940	56459
901	Bret Le Sarr	490-970-7721	4
902	Benetta Cranmor	318-514-2142	260
903	Jory Walak	754-942-6829	4
904	Lanita Hedon	228-989-4417	670
905	Addia McCallam	375-142-2870	448
906	Nickola Christofle	232-971-2770	49338
907	Suzie Ovise	345-810-5005	2493
908	Ibrahim Maggiore	151-826-8590	28397
909	Randolf Shrubshall	135-442-9130	63
910	Rosabelle Handford	308-393-2626	9
911	Kassia Perkinson	414-991-2234	5238
912	Ammamaria Gosnoll	270-924-4937	5523
913	Cathleen Coppen	932-536-6270	90
914	Dede Simmill	832-478-7881	1
915	Tim Molyneaux	145-453-8753	5
916	Carmelle Lennard	874-970-6574	45686
917	Georgiana Vina	226-171-8551	23
918	Annamaria Willars	595-452-9864	0
919	Claudia Prater	852-332-4561	63397
920	Clarette Edlington	760-403-4506	3
921	Kipper Hudel	763-949-3407	71
922	Dwain Merck	573-923-4249	41691
923	Kira Battyll	864-202-5213	30
924	Cyrillus Peery	776-892-9657	79
925	Allegra Tumini	691-912-2600	16385
926	Dana Aguirrezabala	222-677-4342	13841
927	Lindy Guyton	156-407-2416	423
928	Helsa Rouf	539-796-9879	4
929	Tessa Hitzmann	968-499-3643	26070
930	Harriot Chessman	294-950-6550	667
931	Sol Carnalan	844-792-3874	49
932	Danny Keeling	761-277-3470	1145
933	Shelly Dmitrichenko	647-475-8511	6010
934	Orel Lascelles	356-438-5884	0
935	Wernher McLeese	606-702-0536	2
936	Peggie Collcutt	364-526-8075	987
937	Arley Yurikov	470-505-6381	86
938	Lona Schubert	571-617-7717	6195
939	Midge Ribbon	394-554-4675	11332
940	Leonardo Easbie	455-459-4156	1903
941	Borg Upham	766-948-5140	767
942	Catherin Millwall	470-405-8002	1
943	Clementius Hardwicke	255-695-0019	71
944	Nahum Demchen	643-430-6335	5653
945	Roxana Probey	882-593-0296	2
946	Violette Stowte	994-921-3625	44011
947	Brandy Callen	131-762-5573	7
948	Merle Rickesies	337-825-2479	4544
949	Delilah Goodswen	171-156-5017	20
950	Reeta Iskow	771-866-9632	5
951	Valli Gandar	876-836-7725	49172
952	Francesco Berkelay	796-870-2083	27872
953	Redford Braams	854-689-2110	134
954	Stu Giovannelli	351-795-1373	987
955	Freddy Tale	540-200-4755	310
956	Werner Artz	935-769-5362	789
957	Audre Monnelly	974-477-7329	37
958	Leroi Cleminson	530-626-6719	841
959	Honor Thornham	820-493-7999	22699
960	Free Kinder	973-179-2757	1
961	Mario Mighele	362-744-1796	0
962	Rosy McJerrow	242-495-1458	3
963	Anne-marie Ruggs	193-682-9748	621
964	Weider Swindell	232-518-5390	78
965	Ardyth Keeting	133-993-9327	5
966	Ransell Veall	144-284-9573	27
967	Vincenty Allon	420-669-4660	362
968	Hank Stenton	549-882-8790	7
969	Sigismundo Riding	547-911-8324	81
970	Herbie Loosmore	831-822-2361	8
971	Anthiathia Pinchbeck	978-116-7427	7
972	Bevan Nickell	122-627-5156	14
973	Agnella Goosey	440-904-2786	66684
974	Jeannine Sute	305-701-4696	7
975	Sissy Bartkowiak	937-985-8785	60
976	Isiahi Staggs	407-538-3290	7588
977	Harper Maraga	869-338-0627	827
978	Joanna Habercham	659-178-4081	3061
979	Isidro Foat	929-159-6630	9
980	Ashely Platt	477-520-2684	61
981	Reuven Wrench	954-497-9557	936
982	Shepherd Bachnic	735-164-9092	0
983	Buiron Robb	641-799-5140	9995
984	Godiva Darbey	572-908-1063	5
985	Maighdiln Kivelhan	860-582-2829	835
986	Marcie Bucham	208-220-0589	0
987	Cobbie Livingstone	126-725-8902	18
988	Pandora McWhan	566-836-4118	488
989	Margo Eliasen	342-183-5555	52437
990	Egan Ludee	861-190-2874	24220
991	Tally Bullent	356-545-3325	2
992	Yovonnda Ashbridge	938-272-1228	841
993	Thor Chaffer	132-257-6843	39435
994	Kelby Pendrick	605-389-7849	35
995	Ivie Courtenay	869-163-8185	8
996	Orelia Hritzko	763-566-0722	44
997	Gianni Bartolomeoni	535-469-3820	7798
998	Elizabeth Pybworth	183-736-2869	4
999	Hedwiga Soar	982-560-9402	62580
1000	Dalia Folbig	260-706-9279	56
